交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2019-08-15 23:28:50,商户消费,小米科技有限责任公司,"小米科技5190815368508975号订单",支出,¥397.00,零钱,支付成功,4200000373201908151381426677	,20011000519081536850897537	,"/"
2019-08-15 14:32:57,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000389201908152419554990	,MBK0292019081514325765902301	,"/"
2019-08-15 13:20:03,扫二维码付款,🐾L'illuminazione,"收款方备注:二维码收款",支出,¥12.00,零钱,支付成功,100004990119081500073133999034697352	,10000499012019081500062918726287	,"/"
2019-08-15 10:43:44,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000378201908155243619263	,MBK0292019081510434363018494	,"/"
2019-08-14 12:35:55,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000399201908149977165428	,MBK0292019081412355493108738	,"/"
2019-08-13 23:39:59,商户消费,小米科技有限责任公司,"小米科技5190813296110978号订单",支出,¥699.00,零钱,支付成功,4200000395201908136551715877	,20011000519081329611097837	,"/"
2019-08-13 09:31:47,转账-退款,Nirvazure,"转账备注:微信转账",收入,¥1000.00,零钱,已全额退款,1000050101201908121207900232326	,1000050101201908121207900232326	,"/"
2019-08-12 12:56:45,商户消费,陕西广电网络,"陕西广电商品",支出,¥912.00,零钱,支付成功,4200000377201908129812944824	,SM653612300000000000Mj125644	,"/"
2019-08-12 11:57:35,商户消费,小电,"小电充电宝",支出,¥3.00,零钱,支付成功,4200000351201908124619820905	,VhwxMqjyn1zQzp-EYTF7yHtW37xRIvix	,"/"
2019-08-12 09:47:37,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000377201908124896314741	,MBK0292019081209473777054956	,"/"
2019-08-12 09:31:46,转账,妈妈,"转账备注:微信转账",支出,¥1000.00,零钱,支付成功,100005010119081200073134288299112352	,1000050101201908121207900232326	,"/"
2019-08-12 09:31:32,转账,妈妈,"转账备注:微信转账",收入,¥2000.00,/,已存入零钱,1000050101201908121007923345177	,/	,"/"
2019-08-11 16:16:32,扫二维码付款,🚬,"收款方备注:二维码收款",支出,¥8.50,零钱,支付成功,100004990119081100073133703070192352	,10000499012019081100102666420243	,"/"
2019-08-11 15:59:02,扫二维码付款,XIao坦诚人生,"收款方备注:二维码收款",支出,¥9.00,零钱,支付成功,100004990119081100073134051144044352	,10000499012019081100100946349310	,"/"
2019-08-11 13:51:24,扫二维码付款,指导员。,"收款方备注:二维码收款",支出,¥12.30,零钱,支付成功,100004990119081100073133939343800352	,10000499012019081100088467429310	,"/"
2019-08-10 11:49:51,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000377201908104931721435	,MBK0292019081011495152692189	,"/"
2019-08-09 18:22:34,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000399201908096159046898	,MBK0292019080918223435394973	,"/"
2019-08-08 17:55:01,商户消费,京东商城平台商户,"京东商城订单",支出,¥79.00,零钱,支付成功,4200000378201908088878442049	,61642319080817544905281	,"/"
2019-08-08 11:59:28,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000376201908084650095517	,MBK0292019080811592858395324	,"/"
2019-08-08 10:06:09,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000398201908086791145601	,MBK0292019080810060971554629	,"/"
2019-08-08 09:05:51,商户消费,京东商城平台商户,"京东商城订单",支出,¥49.60,零钱,支付成功,4200000377201908081510316625	,61643219080809053301558	,"/"
2019-08-08 06:47:53,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000400201908086523047023	,MBK0292019080806475340885444	,"/"
2019-08-07 12:34:57,微信红包（单发）,彭玲,"/",支出,¥20.00,零钱,支付成功,100003940119080700073133734426084352	,1000039401201908076016498433823	,"/"
2019-08-07 05:38:15,商户消费,充值服务,"王者荣耀王者荣耀点券(为微信账号购买)",支出,¥114.46,零钱,支付成功,4200000340201908078730965776	,product_20190807131072214	,"/"
2019-08-05 19:39:01,微信红包-退款,/,"/",收入,¥135.00,零钱,已全额退款,1000039501201908046017329094750	,1000039501201908046017329094750	,"/"
2019-08-05 15:32:32,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000381201908054477185569	,MBK0292019080515323230708059	,"/"
2019-08-05 14:53:03,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000395201908053475092785	,MBK0292019080514530229101796	,"/"
2019-08-05 14:39:34,商户消费,陕西省公安厅（出入境管理局）,"陕西省公安厅（出入境管理局）",支出,¥120.00,零钱,支付成功,4200000390201908054260001136	,19080598018380	,"/"
2019-08-05 11:16:58,转账,妈妈,"转账备注:微信转账",收入,¥300.00,/,已存入零钱,1000050101201908051705357768677	,/	,"/"
2019-08-04 20:04:42,微信红包（群红包）,微信群,"/",支出,¥129.00,零钱,支付成功,100003950119080400073133892087432352	,1000039501201908046018069686897	,"/"
2019-08-04 19:38:57,微信红包（单发）,慕永东,"/",支出,¥135.00,零钱,已全额退款,100003950119080400073134041851290352	,1000039501201908046017329094750	,"/"
2019-08-03 14:27:23,商户消费,御品轩,"2019-08-03 14:27（核算日：2019-08-03）",支出,¥36.10,零钱,支付成功,4200000393201908039825456619	,IH03966E006804607D5A2B0EA0B4CA5A	,"/"
2019-08-02 19:05:34,微信红包,恶灵,"/",收入,¥80.00,/,已存入零钱,1000039501000908027014183947622	,1000039501201908027014183947622	,"/"
2019-08-02 19:04:37,转账,孝孝,"转账备注:微信转账",收入,¥50.00,/,已存入零钱,1000050101201908021204479731997	,/	,"/"
2019-08-02 18:54:44,扫二维码付款,小郭烤翅,"收款方备注:二维码收款",支出,¥166.00,零钱,支付成功,100004990119080200073133860443708352	,10000499012019080200125686814232	,"/"
2019-08-02 17:35:00,微信红包（单发）,彭玲,"/",支出,¥35.00,零钱,支付成功,100003950119080200073134237045536352	,1000039501201908026014558245874	,"/"
2019-08-02 11:28:09,扫二维码付款,淡定,"收款方备注:二维码收款",支出,¥39.00,零钱,支付成功,100004990119080200073133755757390352	,10000499012019080200040937665387	,"/"
2019-07-30 23:27:48,转账,孝孝,"转账备注:微信转账",收入,¥28.00,/,已存入零钱,1000050101201907301203450158131	,/	,"/"
2019-07-30 13:21:56,商户消费,三俞竹苑,"西安曲江新区三俞竹苑餐饮店",支出,¥173.00,零钱,支付成功,4200000393201907309362364092	,112191498911119073013215403649	,"/"
2019-07-30 11:20:37,扫二维码付款,诺言,"收款方备注:二维码收款",支出,¥8.50,零钱,支付成功,100004990119073000073133947454890352	,10000499012019073000067187114232	,"/"
2019-07-29 15:18:38,商户消费,陕西广电网络,"陕西广电商品",支出,¥940.00,零钱,支付成功,4200000388201907297568957807	,SM65098380000000000N7E151837	,"/"
2019-07-29 15:13:49,转账,妈妈,"转账备注:微信转账",收入,¥2000.00,/,已存入零钱,1000050101201907290103004860834	,/	,"/"
2019-07-29 14:35:01,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000390201907298371490660	,MBK0292019072914350199907901	,"/"
2019-07-28 14:33:27,扫二维码付款,文鑫商店,"收款方备注:二维码收款",支出,¥12.00,工商银行(9635),支付成功,100004990119072800073133782313167352	,10000499012019072800091467999310	,"/"
2019-07-28 11:49:24,扫二维码付款,心若初晴*,"收款方备注:二维码收款",支出,¥51.00,零钱,支付成功,100004990119072800073134256307209352	,10000499012019072800069558153365	,"/"
2019-07-27 23:16:01,商户消费,云充吧驿站,"充电宝",支出,¥2.00,零钱,支付成功,4200000383201907276234391113	,Zcn5byZUbdjPFLO2Fxg35TdnxCjKZrFx	,"/"
2019-07-27 20:38:23,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000396201907277360215283	,MBK0292019072720382266749212	,"/"
2019-07-27 14:46:57,商户消费,毒-潮流装备交易平台,"adidas originals 三叶草 Flamestrike男子短袖T恤 黑色",支出,¥252.00,零钱,支付成功,4200000397201907275779587144	,2119072714465087049950	,"/"
2019-07-27 14:46:04,转账,妈妈,"转账备注:微信转账",收入,¥300.00,/,已存入零钱,1000050101201907270502307125702	,/	,"/"
2019-07-26 14:22:28,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000377201907264501320223	,MBK0292019072614222882807500	,"/"
2019-07-26 13:45:40,扫二维码付款,QGG,"收款方备注:二维码收款",支出,¥17.00,工商银行(9635),支付成功,100004990119072600073134226919119352	,10000499012019072600082917293209	,"/"
2019-07-26 13:30:01,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000382201907266956037137	,MBK0292019072613300111959369	,"/"
2019-07-24 13:03:42,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000400201907249257040450	,MBK0292019072413034188194191	,"/"
2019-07-21 13:00:05,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000388201907214718857910	,MBK0292019072113000583999007	,"/"
2019-07-20 14:46:22,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000401201907204072074085	,MBK0292019072014462198027826	,"/"
2019-07-19 17:07:23,商户消费,西安唐久便利连锁有限公司,"山西省太原唐久超市有限公司-消费",支出,¥26.60,工商银行(9635),支付成功,4200000336201907196372715830	,02081190719170720	,"/"
2019-07-19 12:21:57,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000336201907195571584029	,MBK0292019071912215750328610	,"/"
2019-07-17 10:10:29,商户消费,Valve,"Steam Purchase 242992289",支出,¥38.00,工商银行(9635),支付成功,4200000356201907175769977140	,S2P114519050	,"/"
2019-07-15 17:48:37,微信红包,东~~~,"/",收入,¥1.50,/,已存入零钱,1000039501000907157012334376755	,1000039501201907157012334376755	,"/"
2019-07-15 17:47:48,商户消费,上海莫能臣智能科技有限公司,"最美证件照",支出,¥1.50,零钱,支付成功,4200000352201907152350601966	,190715174680952002c	,"/"
2019-07-15 15:05:42,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000333201907155542078896	,MBK0292019071515054166766445	,"/"
2019-07-15 14:22:12,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000331201907156767318239	,MBK0292019071514221249188009	,"/"
2019-07-15 13:33:26,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000320201907157702693529	,MBK0292019071513332574967505	,"/"
2019-07-15 13:03:06,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000322201907157099720776	,MBK0292019071513030694231492	,"/"
2019-07-15 09:31:35,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000337201907159946412172	,MBK0292019071509313412153385	,"/"
2019-07-14 15:30:38,扫二维码付款,依然坚信,"收款方备注:二维码收款",支出,¥5.00,零钱,支付成功,100004990119071400073133829892056352	,10000499012019071400102447072210	,"/"
2019-07-14 14:51:01,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000337201907148545746920	,MBK0292019071414510022316291	,"/"
2019-07-14 14:46:15,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000316201907149391592797	,MBK0292019071414460358086788	,"/"
2019-07-13 11:59:31,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000333201907130150032483	,MBK0292019071311592278257513	,"/"
2019-07-12 14:00:40,商户消费,华润万家生活超市有限公司,"条码支付-华润",支出,¥77.20,零钱,支付成功,4200000310201907127852141234	,Y10H1907120023009901020100	,"/"
2019-07-12 13:21:57,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000336201907123626972864	,MBK0292019071213214466475151	,"/"
2019-07-11 14:51:08,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000338201907114213282866	,MBK0292019071114505811159599	,"/"
2019-07-10 17:52:58,商户消费,绝味食品,"绝味食品",支出,¥21.40,零钱,支付成功,4200000341201907102469519816	,jwd021907104962822	,"/"
2019-07-09 20:03:29,商户消费,怪兽充电,"充电宝",支出,¥4.00,零钱,支付成功,4200000333201907099617298798	,J01cVXZApS1dCsJAskNJdeSp3CqAOFxx	,"/"
2019-07-09 14:56:16,商户消费,毒-潮流装备交易平台,"Adidas NMD R1 Core Black Shock Purple",支出,¥529.00,零钱,支付成功,4200000330201907096182071194	,2119070914560870465316	,"/"
2019-07-08 23:13:20,商户消费,西安唐久便利连锁有限公司,"山西省太原唐久超市有限公司-消费",支出,¥27.70,零钱,支付成功,4200000326201907085635499475	,02081190708231318	,"/"
2019-07-07 12:23:03,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000328201907078539546019	,MBK0292019070712225488902315	,"/"
2019-07-06 18:39:01,商户消费,长百新市生活购物广场,"长百新市生活购物广场",支出,¥269.00,零钱,支付成功,4200000331201907068176952235	,11136101531101711907061839012753	,"/"
2019-07-06 15:41:00,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000325201907060084445490	,MBK0292019070615405187575739	,"/"
2019-07-06 15:16:49,商户消费,小电,"小电充电宝",支出,¥1.50,零钱,支付成功,4200000305201907068770244142	,h4PYuD1h6SFUmIFNLaCEkKqi9CP53z6x	,"/"
2019-07-06 09:58:13,商户消费,西安金拱门食品有限公司,"西安麦当劳餐厅食品有限公司",支出,¥10.50,零钱,支付成功,4200000294201907060534671855	,SXA1205O27981718548	,"/"
2019-07-05 17:51:27,群收款,刘子瑞,"/",支出,¥1.50,零钱,支付成功,100004950119070500073133814961951352	,10000495010279070560001379519	,"/"
2019-07-05 17:23:27,群收款,余嘉晨,"/",支出,¥63.56,零钱,支付成功,100004950119070500073133814519035352	,10000495010029070540001376475	,"/"
2019-07-04 18:19:33,商户消费,忆家小厨（碑林店）,"MTDP-忆家小厨（碑林店）",支出,¥85.00,零钱,支付成功,4200000309201907041439509155	,0461368602760330885200276	,"/"
2019-07-04 13:28:34,扫二维码付款,交大湘中,"收款方备注:二维码收款",支出,¥20.00,零钱,支付成功,100004990119070400073133700428345352	,10000499012019070400081878217209	,"/"
2019-07-04 10:56:27,商户消费,兴华大学生超市,"兴华大学生超市",支出,¥8.50,零钱,支付成功,4200000323201907041811322353	,107787066221119070410562512332	,"/"
2019-07-03 16:37:01,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000336201907038675470346	,MBK0292019070316365379071400	,"/"
2019-07-02 22:25:24,扫二维码付款,A 吴桂霞~绿叶招商热线17795789781,"收款方备注:二维码收款",支出,¥4.00,零钱,支付成功,100004990119070200073134357209337352	,10000499012019070200145756356298	,"/"
2019-07-02 19:23:30,转账,妈妈,"转账备注:微信转账",支出,¥2500.00,零钱,支付成功,100005010119070200073133876587697352	,1000050101201907021003516165023	,"/"
2019-07-02 15:59:36,转账,妈妈,"转账备注:微信转账",收入,¥3000.00,/,已存入零钱,1000050101201907020103403997370	,/	,"/"
2019-07-01 16:46:24,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000333201907010334552579	,MBK0292019070116461541552837	,"/"
2019-07-01 15:01:19,商户消费,有赞,"小黑盒H币充值",支出,¥10.00,零钱,支付成功,4200000316201907016464431476	,190701150112262231	,"/"
2019-07-01 07:32:06,微信红包,/,"/",支出,¥21.00,零钱,支付成功,100003940119070100073133845608462352	,1000039401201907016002505273833	,"/"
2019-06-30 17:54:36,商户消费,有赞,"小黑盒H币充值",支出,¥20.00,零钱,支付成功,4200000335201906300903311225	,190630175425262173	,"/"
2019-06-30 12:07:55,商户消费,Valve,"Steam Purchase 237870902",支出,¥48.00,零钱,支付成功,4200000308201906309464395786	,S2P111577847	,"/"
2019-06-30 11:14:41,商户消费,Valve,"Steam Purchase 237844088",支出,¥79.00,零钱,支付成功,4200000293201906301775184044	,S2P111563192	,"/"
2019-06-30 00:08:17,商户消费,哔哩哔哩,"Hobbymax 王者荣耀 貂蝉 绝世舞姬 典藏Ver. 手办",支出,¥798.00,零钱,支付成功,4200000323201906303139906887	,3134148008323641344	,"/"
2019-06-29 17:46:45,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000335201906298361133422	,MBK0292019062917463687203739	,"/"
2019-06-29 17:02:56,微信红包,美少女战士🌙,"/",收入,¥33.00,/,已存入零钱,1000039401000906296013557793900	,1000039401201906296013557793900	,"/"
2019-06-29 13:02:02,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000325201906295735937004	,MBK0292019062913015529459744	,"/"
2019-06-28 20:31:22,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000326201906283481414297	,MBK0292019062820311516539935	,"/"
2019-06-28 19:27:06,商户消费,毛记冒菜（东关南街店）,"美团点评智能支付_毛记冒菜（东关南街店）",支出,¥16.00,零钱,支付成功,4200000321201906280579804981	,2019062819265787640476731593	,"/"
2019-06-28 11:11:32,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000317201906286625254897	,MBK0292019062811112550815456	,"/"
2019-06-28 10:14:15,转账,妈妈,"转账备注:微信转账",收入,¥1600.00,/,已存入零钱,1000050101201906280001778477408	,/	,"/"
2019-06-27 20:01:45,商户消费,川把式青年街,"川把式串串香10021015616368999568522",支出,¥147.00,零钱,支付成功,4200000317201906277133928171	,5792728009190627	,"/"
2019-06-26 09:50:58,商户消费,摩拜单车,"车费代扣",支出,¥3.00,零钱,支付成功,4200000323201906262289048224	,MBK0292019062609505193018339	,"/"
2019-06-25 15:55:12,永乐票务-退款,永乐票务,"西安_永乐票务571965420",收入,¥138.00,零钱,已全额退款,11500000719062503028418057094836	,573446622_1	,"/"
2019-06-24 21:41:05,微信红包,子曰是福,"/",收入,¥0.46,/,已存入零钱,1000039501006906247018904202707	,1000039501201906247018904202707	,"/"
2019-06-22 22:33:59,扫二维码付款,A 吴桂霞~绿叶招商热线17795789781,"收款方备注:二维码收款",支出,¥9.00,零钱,支付成功,100004990119062200073134043582812352	,10000499012019062200148696353365	,"/"
2019-06-22 10:21:41,微信红包,/,"/",支出,¥26.00,零钱,支付成功,100003950119062200073134029905876352	,1000039501201906226005256955791	,"/"
2019-06-21 21:59:15,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000324201906212354608715	,MBK0292019062121590230799412	,"/"
2019-06-20 20:11:56,扫二维码付款,得福砂锅,"收款方备注:二维码收款",支出,¥12.00,零钱,支付成功,100004990119062000073133945644388352	,10000499012019062000123837618265	,"/"
2019-06-18 09:11:30,扫二维码付款,622701,"收款方备注:二维码收款",支出,¥4.00,零钱,支付成功,100004990119061800073133805053486352	,10000499012019061800025697475227	,"/"
2019-06-17 22:45:05,商户消费,蜜雪冰城905619店,"窝窝支付_蜜雪冰城（905619店）_6380",支出,¥7.00,零钱,支付成功,4200000315201906174799553445	,W19061722443063063800000	,"/"
2019-06-17 19:59:32,商户消费,海荣锅贴（大悦城店）,"美团点评智能支付_海荣锅贴馆（大悦城店）",支出,¥22.00,零钱,支付成功,4200000309201906172584863278	,2019061719592619890476712053	,"/"
2019-06-16 13:35:37,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000330201906166854878994	,MBK0292019061613352933046964	,"/"
2019-06-16 12:57:05,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000330201906160537871540	,MBK0292019061612565646218333	,"/"
2019-06-16 10:32:11,商户消费,京东商城平台商户,"京东商城订单",支出,¥717.00,工商银行(9635),支付成功,4200000316201906169687849360	,61600219061610315604504	,"/"
2019-06-16 10:10:33,商户消费,充值服务,"腾讯视频+京东PLUS联合会员12个月(为1966538264购买)",支出,¥93.00,零钱,支付成功,4200000303201906165172295925	,product_20190616171636975	,"/"
2019-06-15 13:26:16,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000323201906158801266859	,MBK0292019061513260981846601	,"/"
2019-06-15 10:20:44,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000316201906152067022902	,MBK0292019061510203535792118	,"/"
2019-06-14 18:51:20,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000336201906143738367808	,MBK0292019061418511145747079	,"/"
2019-06-14 18:19:53,商户消费,西安市碑林区嘉兴砂锅店,"兰州杨记砂锅老店交大商业街店(兰州杨记砂锅",支出,¥20.00,零钱,支付成功,4200000318201906140089631322	,20190614181952099300	,"/"
2019-06-13 20:34:11,转账,来攀超,"转账备注:微信转账",收入,¥105.00,/,已存入零钱,1000050101201906130106504891471	,/	,"/"
2019-06-12 11:26:52,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000325201906128741027755	,MBK0292019061211264521573556	,"/"
2019-06-11 19:50:49,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000323201906115088076721	,MBK0292019061119504266636104	,"/"
2019-06-11 18:53:55,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000327201906112721749015	,MBK0292019061118534891603939	,"/"
2019-06-09 19:33:33,京东商城平台商户-退款,京东商城平台商户,"京东-订单编号96847061865",收入,¥5.60,零钱,已全额退款,11500000719060903001917610324600	,61830519060516395004171	,"/"
2019-06-09 19:32:55,京东商城平台商户-退款,京东商城平台商户,"京东-订单编号96847061865",收入,¥15.80,零钱,已全额退款,11500000719060901002417581657598	,61830519060516395004171	,"/"
